 ,Issuer,Cum,QDI,Sector,"Fix/
Float",Type,Ticker,Coupon  Percent,Current Price,Change,Current Yield,Ann Yield to Worst ,IG,S&P Rating,Moody Rating,Quarterly Int / Div,1st Call,Maturity Date,Pay Dates,,All
,Abacus Life,No,No,Insurance,Fix,BB,ABXL,9.875%,$25.92,$0.01,9.52%,6.18%,N,NR,NR,$0.62,2/15/2027,11/15/2028,"15th 2,5,8,11",1.10,All
,Aberdeen Income Credit,Yes,Var,CEF,Fix,Trad,ACP-A,5.250%,$20.22,$0.16,6.49%,47.07%,Y,NR,A2,$0.33,6/30/2026,NONE,"LD 3,6,9,12",0.47,All
,ACRES Commercial,Yes,No,mREIT,Fix,Trad,ACR-D,7.875%,$21.85,-$0.01,8.97%,43.81%,N,NR,NR,$0.49,5/21/2026,NONE,"30th 1,4,7,10",0.36,All
,ACRES Commercial,Yes,No,mREIT,Fix-Float,Trad,ACR-C,8.625%,$24.85,$0.08,Float,Float,N,NR,NR,Float,7/30/2024,NONE,"30th 1,4,7,10",-1.45,All
,Adamas Trust,Yes,No,mREIT,Fix,Trad,ADAMZ,7.000%,$18.99,-$0.17,9.27%,#DIV/0!,N,NR,NR,$0.44,1/15/2027,NONE,"15th 1,4,7,10",,All
,Adamas Trust,No,No,mREIT,Fix,BB,ADAMI,9.125%,$25.17,-$0.09,9.06%,#DIV/0!,N,NR,NR,$0.57,7/1/2026,7/1/2029,"1st 1,4,7,10",,All
,Adamas Trust,No,No,mREIT,Fix,BB,ADAMG,9.125%,$24.93,-$0.07,9.15%,#DIV/0!,N,NR,NR,$0.57,4/1/2027,4/1/2030,"1st 1,4,7,10",,All
,Adamas Trust,No,No,mREIT,Fix,BB,ADAMH,9.875%,$25.59,-$0.03,9.69%,#DIV/0!,N,NR,NR,0.62,10/1/2027,10/1/2030,"1st 1,4,7,10",,All
,Adamas Trust,Yes,No,mREIT,Fix-Float,Trad,ADAMM,7.875%,$24.95,-$0.02,Float,0.20%,N,NR,NR,Float,1/15/2025,NONE,"15th 1,4,7,10",,All
,Adamas Trust,Yes,No,mREIT,Fix-Float,Trad,ADAMN,8.000%,$22.29,$0.13,8.97%,#DIV/0!,N,NR,NR,$0.50,10/15/2027,NONE,"15th 1,4,7,10",,All
,Adamas Trust,Yes,No,mREIT,Fix-Float,Trad,ADAML,6.875%,$22.90,$0.06,7.51%,#DIV/0!,N,NR,NR,$0.43,10/15/2026,NONE,"15th 1,4,7,10",,All
,Aegon Funding Company,No,No,Insurance,Fix,BB,AEFC,5.100%,$19.90,NA,6.43%,20.40%,Y,BBB,Baa1,$0.32,12/15/2024,12/15/2049,"15th 3,6,9,12",-1.07,All
,Affiliated Managers Group,No,No,Asset Mgr,Fix,BB,MGR,5.875%,$21.32,$0.07,6.94%,14.72%,Y,BBB-,Baa1,$0.37,3/30/2024,3/30/2059,"30th 3,6,9,12",-1.78,All
,Affiliated Managers Group,No,No,Asset Mgr,Fix,BB,MGRB,4.750%,$17.31,$0.17,6.86%,-104.30%,Y,BBB-,Baa1,$0.30,9/30/2025,9/30/2060,"30th 3,6,9,12",-0.28,All
,Affiliated Managers Group,No,No,Asset Mgr,Fix,BB,MGRD,4.200%,$15.48,$0.04,6.78%,59.43%,Y,BBB-,Baa1,$0.26,9/30/2026,9/30/2061,"30th 3,6,9,12",0.72,All
,Affiliated Managers Group,No,No,Asset Mgr,Fix,BB,MGRE,6.750%,$24.22,-$0.08,6.97%,7.94%,Y,BBB-,Baa1,$0.42,3/30/2029,3/30/2064,"30th 3,6,9,12",3.22,All
,AG Mortgage Investment,Yes,No,mREIT,Fix,Trad,MITT-B,8.000%,$22.37,$0.00,8.94%,10.52%,N,NR,NR,$0.50,9/27/2017,NONE,"17th 3,6,9,12",-8.29,All
,AG Mortgage Investment,Yes,No,mREIT,Fix,Trad,MITT-A,8.250%,$23.15,$0.07,8.98%,7.40%,N,NR,NR,$0.52,8/3/2017,NONE,"17th 3,6,9,12",-8.44,All
,AG Mortgage Investment,No,No,mREIT,Fix,BB,MITN,9.500%,$25.57,$0.00,9.28%,-13.22%,N,NR,NR,$0.59,2/15/2026,2/15/2029,"15th 2,5,8,11",0.10,All
,AG Mortgage Investment,No,No,mREIT,Fix,BB,MITP,9.500%,$25.44,-$0.01,9.32%,4.23%,N,NR,NR,$0.59,5/15/2026,5/15/2029,"15th 2,5,8,11",0.35,All
,AG Mortgage Investment,Yes,No,mREIT,Fix-Float,Trad,MITT-C,8.000%,$25.35,$0.01,Float,Float,N,NR,NR,Float,9/17/2024,NONE,"17th 3,6,9,12",-1.31,All
,AGNC Investment,Yes,No,mREIT,Fix-Float,Trad,AGNCN,7.000%,$25.47,$0.00,Float,Float,N,NR,NR,Float,10/15/2022,NONE,"15th 1,4,7,10",-3.24,All
,AGNC Investment,Yes,No,mREIT,Fix-Float,Trad,AGNCM,6.875%,$24.75,$0.09,Float,Float,N,NR,NR,Float,4/15/2024,NONE,"15th 1,4,7,10",-1.74,All
,AGNC Investment,Yes,No,mREIT,Fix-Float,Trad,AGNCO,6.500%,$25.25,$0.06,Float,#VALUE!,N,NR,NR,Float,10/15/2024,NONE,"15th 1,4,7,10",-1.24,All
,AGNC Investment,Yes,No,mREIT,Fix-Float,Trad,AGNCP,6.125%,$24.79,$0.01,Float,#VALUE!,N,NR,NR,Float,4/15/2025,NONE,"15th 1,4,7,10",-0.74,All
,AGNC Investment,Yes,No,mREIT,FRR,Trad,AGNCL,7.750%,$24.70,-$0.03,7.84%,8.52%,N,NR,NR,$0.48,10/15/2027,NONE,"15th 1,4,7,10",1.76,All
,AGNC Investment,Yes,No,mREIT,Fix,Trad,AGNCZ,8.750%,$25.62,$0.00,8.54%,#DIV/0!,N,NR,NR,$0.55,10/15/2030,NONE,"15th 1,4,7,10",,All
,Agree Realty,Yes,No,eREIT,Fix,Trad,ADC-A,4.250%,$17.27,$0.05,6.15%,51.12%,Y,NR,Baa3,$0.09,9/17/2026,NONE,1st Month,0.69,All
,Air Lease Corporation,No,Yes,Other,Fix-Float,Trad,AL-A,6.150%,Redeem,Redeem,Redeem,Redeem,N,BB+,NR,$0.38,3/15/2024,NONE,"15th 3,6,9,12",-1.82,All
,Air T Inc,Yes,No,Other,Fix,Trust P,AIRTP,8.000%,$18.50,$0.00,10.81%,26.00%,N,NR,NR,$0.50,6/7/2024,6/7/2049,"15th 2,5,8,11",-1.59,All
,Algonquin Power,No,No,Ute,Fix-Float,BB,AQNB,6.200%,$25.55,-$0.04,Float,#VALUE!,N,BB+,NR,Float,7/1/2024,7/1/2079,"1st 1,4,7,10",-1.53,All
,Allstate,No,Yes,Insurance,Fix,Trad,ALL-H,5.100%,$21.23,$0.02,6.01%,-4.74%,Y,BBB,Baa2,$0.32,8/15/2024,NONE,"15th 1,4,7,10",-1.40,All
,Allstate,No,Yes,Insurance,Fix,Trad,ALL-I,4.750%,$19.55,-$0.11,6.07%,21.80%,Y,BBB,Baa2,$0.30,1/15/2025,NONE,"15th 1,4,7,10",-0.98,All
,Allstate,No,Yes,Insurance,Fix,Trad,ALL-J,7.375%,$26.21,-$0.07,7.04%,5.11%,Y,BBB,Baa2,$0.46,7/15/2028,NONE,"15th 1,4,7,10",2.52,All
,Allstate Debentures,No,No,Insurance,Fix-Float,BB,ALL-B,5.100%,$25.87,-$0.16,Float,Float,Y,BBB,Baa1,Float,1/15/2023,1/15/2053,"15th 1,4,7,10",-2.99,All
,Alpine Inome Property Trust,Yes,No,eREIT,Fix,Trad,PINE-A,8.000%,$24.79,$0.04,8.07%,,N,NR,NR,$0.50,11/12/2030,NONE,"LD 3,6,9,12",,All
,Alta Equipment,Yes,Yes,Other,Fix,Trad,ALTG-A,10.000%,$25.63,$0.13,9.75%,60.85%,N,NR,NR,$0.63,12/22/2025,NONE,"LD 1,4,7,10",-0.05,All
